Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 ","2006
  12-31 ","2005
  12-31 ","2004
  12-31 ","2003
  12-31 ","2002
  12-31 ","2001
  12-31 ","2000
  12-31 ","1999
  12-31 ","1998
  12-31 ","1997
  12-31 ","1996
  12-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,39.9,38.78,51.46,-314.4,50.57,76.34,78.77,72.62,185.1,149.9,529.5,-595.0,665.2,"-2,787",124.2,69.84,64.61,33.58,80.34,86.27,58.40,30.52,593.6,-47.67,-7.078,-3.869,-34.58,-127.5,-42.19,-54.87
priceSalesRatio,3.722,3.602,2.724,1.665,3.591,4.218,3.254,3.141,3.156,2.614,2.949,1.612,2.448,1.779,1.630,2.352,2.378,1.130,2.578,1.530,2.291,2.593,3.947,1.817,1.262,1.977,15.18,26.05,8.856,21.76
priceToBookRatio,8.267,8.035,7.755,5.860,12.20,17.44,14.71,16.80,20.26,18.43,23.58,13.35,18.70,13.27,10.10,11.72,11.09,8.105,31.95,38.03,79.05,-79.05,-20.05,-5.283,-2.737,-5.645,93.51,114.5,45.92,100.8
priceToFreeCashFlowsRatio,72.21,69.88,48.60,-50.66,-114.6,62.82,42.16,42.29,86.64,36.62,43.05,73.58,89.73,275.1,37.46,31.98,19.96,15.88,32.38,33.73,36.76,37.59,60.04,52.89,-23.17,-20.59,-65.88,"5,879",-353.7,-118.2
priceToOperatingCashFlowsRatio,20.4,19.83,18.43,18.31,36.42,24.65,23.70,23.81,30.45,21.61,26.48,20.96,33.29,26.00,20.08,23.02,17.70,12.76,27.22,23.35,26.53,31.67,53.00,41.01,-32.90,-41.86,-274.0,511.8,374.0,-201.6
priceEarningsToGrowthRatio,2.192,0.422,-0.043,2.906,0.921,0.930,5.795,0.327,6.610,0.516,-1.530,3.188,-0.868,26.17,-2.669,2.328,2.046,1.044,0.536,-1.831,-1.460,0.020,-4.823,0.636,0.116,-0.047,-0.082,-0.510,-0.181,0.000
none-1,19.79,33.93,18.88,17.09,28.79,33.87,25.35,26.06,36.46,28.01,36.41,28.12,43.77,35.65,36.1,36.65,34.62,16.24,40.5,26.33,34.23,34.93,61.65,55.58,-34.91,-14.21,-72.47,-278.1,-43.28,0
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currentRatio,1.064,1.064,1.045,0.945,1.136,1.050,1.097,1.098,1.040,1.045,1.054,1.115,1.072,1.121,1.174,1.325,1.330,1.297,1.390,1.332,1.542,1.567,1.454,1.516,1.311,1.396,1.373,2.626,3.091,1.449
quickRatio,0.873,0.873,0.843,0.723,0.906,0.862,0.864,0.847,0.763,0.783,0.751,0.820,0.749,0.803,0.839,1.017,1.036,1.003,1.067,0.986,1.244,1.271,1.219,1.326,1.155,1.217,1.072,2.443,2.890,1.327
cashRatio,0.439,0.439,0.445,0.347,0.255,0.333,0.411,0.464,0.355,0.441,0.469,0.518,0.377,0.425,0.354,0.364,0.468,0.583,0.684,0.404,0.533,0.804,0.880,0.693,0.586,0.844,0.182,0.158,0.042,1.265
debtRatio,0.209,0.209,0.257,0.303,0.277,0.263,0.281,0.204,0.289,0.182,0.219,0.229,0.129,0.118,0.056,0.034,0.018,0.049,0.210,0.290,0.402,0.572,0.902,1.151,1.326,1.004,0.600,0.538,0.522,0.000
debtEquityRatio,0.458,0.458,0.672,0.959,0.842,0.903,1.018,0.761,1.369,0.789,1.059,1.163,0.532,0.468,0.182,0.093,0.048,0.153,1.137,2.940,6.037,-8.188,-1.882,-1.693,-1.508,-2.217,5.561,2.515,2.744,0.000
longTermDebtToCapitalization,0.169,0.169,0.224,0.315,0.261,0.254,0.274,0.350,0.472,0.285,0.381,0.435,0.247,0.274,0.032,0.026,0.020,0.133,0.517,0.743,0.857,1.139,2.141,2.465,3.029,1.852,0.844,0.715,0.729,0.000
totalDebtToCapitalization,0.314,0.314,0.402,0.490,0.457,0.475,0.505,0.432,0.578,0.441,0.514,0.538,0.347,0.319,0.154,0.085,0.046,0.133,0.532,0.746,0.858,1.139,2.134,2.443,2.970,1.822,0.848,0.716,0.733,0.000
interestCoverage,54.18,-28.51,11.58,5.174,13.75,13.90,9.088,8.766,4.842,8.649,4.865,0.848,5.284,7.348,13.26,36.05,33.21,11.86,8.506,4.987,4.696,4.112,2.077,0.449,-2.961,-6.598,-7.163,-4.094,-99.98,"-1,289"
cashFlowToDebtRatio,0.885,0.885,0.626,0.334,0.398,0.783,0.609,0.927,0.486,1.081,0.841,0.548,1.057,1.091,2.758,5.452,13.07,4.149,1.032,0.554,0.494,0.305,0.201,0.076,-0.055,-0.061,-0.061,0.089,0.045,0.000
Margins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,48.17%,47.29%,46.98%,43.81%,42.03%,39.57%,40.99%,40.25%,37.07%,35.09%,33.04%,29.48%,27.23%,24.75%,6.87%,8.80%,9.14%,8.24%,8.38%,8.00%,9.93%,10.37%,9.59%,9.78%,5.87%,-1.02%,-6.49%,14.31%,10.44%,21.97%
operatingProfitMargin,10.75%,10.75%,6.41%,2.38%,5.30%,5.93%,5.18%,5.33%,2.31%,3.08%,2.09%,0.20%,1.00%,1.11%,1.79%,4.11%,4.61%,4.39%,4.42%,3.63%,5.09%,6.36%,5.13%,1.63%,-13.20%,-31.28%,-36.94%,-17.88%,-22.06%,-40.92%
pretaxProfitMargin,10.76%,10.76%,6.53%,-1.15%,8.12%,6.26%,4.98%,4.84%,2.14%,2.86%,1.47%,-0.12%,0.68%,0.89%,1.94%,4.38%,4.74%,4.70%,4.45%,3.52%,5.04%,5.13%,0.74%,-3.83%,-16.86%,-40.07%,-39.22%,-19.95%,-20.99%,-39.67%
netProfitMargin,9.29%,9.29%,5.29%,-0.53%,7.10%,5.53%,4.13%,4.33%,1.71%,1.74%,0.56%,-0.27%,0.37%,-0.06%,1.31%,3.37%,3.68%,3.37%,3.21%,1.77%,3.92%,8.50%,0.66%,-3.81%,-17.83%,-51.10%,-43.90%,-20.42%,-20.99%,-39.67%
operatingCashFlowSalesRatio,18.16%,18.16%,14.78%,9.10%,9.86%,17.11%,13.73%,13.19%,10.36%,12.09%,11.14%,7.69%,7.35%,6.84%,8.12%,10.22%,13.44%,8.85%,9.47%,6.55%,8.63%,8.19%,7.45%,4.43%,-3.84%,-4.72%,-5.54%,5.09%,2.37%,-10.80%
freeCashFlowMargin,5.15%,5.15%,5.61%,-3.29%,-3.13%,6.71%,7.72%,7.43%,3.64%,7.14%,6.85%,2.19%,2.73%,0.65%,4.35%,7.36%,11.91%,7.12%,7.96%,4.54%,6.23%,6.90%,6.57%,3.44%,-5.45%,-9.60%,-23.05%,0.44%,-2.50%,-18.42%
Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
returnOnAssets,9.48%,9.48%,5.76%,-0.59%,7.93%,6.64%,5.14%,6.19%,2.31%,2.84%,0.92%,-0.44%,0.68%,-0.12%,2.50%,6.13%,6.53%,7.76%,7.34%,4.35%,9.01%,18.10%,1.62%,-7.53%,-34.00%,-66.10%,-29.20%,-19.21%,-20.70%,-75.25%
returnOnEquity,23.74%,20.72%,15.07%,-1.86%,24.13%,22.84%,18.67%,23.13%,10.95%,12.29%,4.45%,-2.24%,2.81%,-0.48%,8.13%,16.78%,17.16%,24.14%,39.77%,44.08%,135.37%,-259.03%,-3.38%,11.08%,38.66%,145.91%,-270.38%,-89.77%,-108.84%,-183.71%
returnOnCapitalEmployed,15.4%,15.40%,10.15%,3.99%,8.94%,11.75%,10.58%,13.18%,5.59%,10.57%,7.24%,0.67%,4.34%,4.99%,8.30%,16.69%,17.51%,23.60%,23.64%,21.25%,24.04%,27.03%,29.69%,6.94%,-57.57%,-74.46%,-34.96%,-22.40%,-30.96%,-189.50%
returnOnInvestedCapital,17.45%,21.23%,10.31%,2.21%,8.99%,13.22%,11.91%,17.76%,6.19%,13.10%,5.88%,3.76%,5.96%,2.64%,11.61%,23.14%,29.38%,76.49%,203.62%,24.23%,42.87%,224.24%,-125.59%,34.27%,-234.44%,-255.75%,-37.88%,-23.64%,-31.52%,230.11%
Turnover Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
