Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  11-03 ","2023
  10-29 ","2022
  10-30 ","2021
  10-31 ","2020
  11-01 ","2019
  11-03 ","2018
  11-04 ","2017
  10-31 ","2016
  10-31 ","2015
  10-31 ","2014
  10-31 ","2013
  10-31 ","2012
  10-31 ","2011
  10-31 ","2010
  10-31 ","2009
  10-31 ","2008
  10-31 ","2007
  10-31 ","2006
  10-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,186.6,132.2,24.79,16.73,32.14,47.71,44.56,7.505,59.51,-35.84,23.83,82.36,20.31,14.36,15.00,13.65,-74.66,41.77,-21.80,-15.90
priceSalesRatio,21.36,15.11,9.747,5.791,7.888,5.912,5.372,4.413,6.060,4.708,4.762,5.074,4.450,3.420,3.545,2.706,2.214,2.040,2.270,2.637
priceToBookRatio,16.25,11.52,14.55,8.467,8.665,5.909,4.861,3.451,5.269,3.299,6.894,6.679,3.886,3.342,4.128,3.764,3.159,4.445,5.003,4.739
priceToFreeCashFlowsRatio,56.75,40.15,19.80,11.79,16.25,12.18,13.10,11.16,19.50,23.19,18.84,28.28,23.07,17.89,13.49,13.14,40.56,25.31,31.81,12.83
priceToOperatingCashFlowsRatio,55.09,39.04,19.31,11.49,15.73,11.71,12.52,10.36,16.31,18.27,14.02,18.44,15.53,11.67,11.41,11.11,23.63,16.67,23.75,10.78
priceEarningsToGrowthRatio,-3.731,-2.176,1.045,0.224,0.233,-16.22,-0.580,0.013,-0.310,0.186,0.064,-1.647,-4.672,0.000,0.425,-0.014,0.493,-0.274,0.848,0.000
none-1,47.68,35.68,18.67,11.42,16.76,16,16.17,11.44,15.68,27.72,13.35,24.03,13.83,9.503,10.06,8.543,16.4,12.43,57.28,39.37
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
currentRatio,1.174,1.174,2.815,2.624,2.641,1.867,1.437,3.895,6.257,2.315,3.374,3.716,4.298,4.887,3.980,1.924,1.365,1.887,2.234,1.947
quickRatio,1.068,1.068,2.559,2.351,2.434,1.710,1.311,3.414,5.684,1.860,2.905,3.212,3.624,4.327,3.426,1.589,1.109,1.314,1.798,1.450
cashRatio,0.56,0.560,1.916,1.761,1.936,1.196,0.733,1.836,4.430,1.006,1.628,1.559,2.329,3.133,2.369,0.993,0.746,0.649,0.963,0.800
debtRatio,0.408,0.408,0.538,0.539,0.526,0.541,0.486,0.349,0.322,0.273,0.373,0.525,0.001,0.001,0.002,0.109,0.304,0.379,0.466,0.454
debtEquityRatio,0.998,0.998,1.635,1.740,1.590,1.718,1.313,0.656,0.865,0.722,0.838,1.699,0.001,0.001,0.003,0.157,0.576,0.910,1.312,1.196
longTermDebtToCapitalization,0.495,0.495,0.611,0.632,0.612,0.627,0.546,0.396,0.462,0.411,0.448,0.627,0.000,0.000,0.000,0.000,0.181,0.474,0.566,0.543
totalDebtToCapitalization,0.5,0.500,0.621,0.635,0.614,0.632,0.568,0.396,0.464,0.419,0.456,0.629,0.001,0.001,0.003,0.136,0.365,0.477,0.567,0.545
interestCoverage,4.781,3.547,9.992,8.189,4.519,2.259,2.385,8.177,5.491,-0.699,8.545,3.982,276.0,582.0,146.0,13.71,0.623,1.860,-0.963,-0.629
cashFlowToDebtRatio,0.295,0.295,0.461,0.424,0.346,0.294,0.296,0.508,0.373,0.250,0.587,0.213,361.0,231.0,121.0,2.161,0.232,0.293,0.161,0.367
Margins,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,60.18%,63.03%,68.93%,66.55%,61.36%,56.58%,55.24%,51.48%,48.25%,44.86%,52.07%,43.97%,47.50%,48.31%,49.10%,46.15%,37.74%,38.55%,23.71%,25.71%
operatingProfitMargin,28.15%,26.10%,45.25%,42.84%,31.03%,16.80%,15.24%,24.63%,14.14%,-3.09%,23.92%,10.26%,21.90%,24.62%,25.00%,22.26%,3.23%,9.42%,-6.88%,-5.95%
pretaxProfitMargin,19.23%,19.23%,42.15%,37.45%,24.64%,10.23%,9.85%,21.80%,10.97%,-8.36%,21.50%,8.01%,22.54%,24.75%,24.02%,19.40%,-2.43%,3.53%,-13.88%,-16.39%
netProfitMargin,11.43%,11.43%,39.31%,34.62%,24.54%,12.39%,12.05%,58.80%,10.18%,-13.13%,19.99%,6.16%,21.90%,23.82%,23.63%,19.83%,-2.96%,4.89%,-10.41%,-16.59%
