"Year","stock","Report Filing","revenue","costOfRevenue","grossProfit","calculatedOperatingExpenses","researchAndDevelopmentExpenses","sellingGeneralAndAdministrativeExpenses","calculatedOtherExpenses","operatingIncome","calculatedNetInterest","interestIncome","interestExpense","calculatedOtherIncome","incomeBeforeTax","incomeTaxExpense","calculatedIncomeNonControlling","netIncome","depreciationAndAmortization","ebitda","eps","epsdiluted","weightedAverageShsOut","weightedAverageShsOutDil","Price Ratios","priceEarningsRatio","priceSalesRatio","priceToBookRatio","priceToFreeCashFlowsRatio","priceToOperatingCashFlowsRatio","priceEarningsToGrowthRatio","none-1","Liquidity Ratios","currentRatio","quickRatio","cashRatio","debtRatio","debtEquityRatio","longTermDebtToCapitalization","totalDebtToCapitalization","interestCoverage","cashFlowToDebtRatio","Margins","grossProfitMargin","operatingProfitMargin","pretaxProfitMargin","netProfitMargin","operatingCashFlowSalesRatio","freeCashFlowMargin","Return","returnOnAssets","returnOnEquity","returnOnCapitalEmployed","returnOnInvestedCapital","Turnover Ratios","receivablesTurnover","payablesTurnover","inventoryTurnover","fixedAssetTurnover","assetTurnover","Per Share Items (USD)","revenuePerShare","operatingCashFlowPerShare","freeCashFlowPerShare","cashPerShare","earningsPerShare","EBITDA Per Share","dividendPerShare","evPerShare","bookValuePerShare","pricePerShare","Dividend Ratios","payoutRatio","dividendYield","effectiveTaxRate","shortTermCoverageRatios","capitalExpenditureCoverageRatio","ebitPerRevenue","none-2","daysOfSalesOutstanding","daysOfInventoryOutstanding","daysOfPayablesOutstanding","cashConversionCycle","cashConversionRatio","freeCashFlowToEarnings"
"2006","AVGOP","2006-10-31","1,513","1,124","389","479","209","270","0.00","-90.0","-143","0.00","143","-15.0","-248","5.00","-2.00","-251","210","120","-0.100","-0.100","2,463","2,463",NA,"-15.90","2.637","4.739","12.83","10.78","0.000","39.37",NA,"1.947","1.450","0.800","0.454","1.196","0.543","0.545","-0.629","0.367",NA,"25.71%","-5.95%","-16.39%","-16.59%","24.45%","20.56%",NA,"-11.32%","-29.81%","-4.79%","-5.72%",NA,"8.091","6.812","6.651","3.628","0.682",NA,"0.614","0.150","0.126","0.110","-0.102","0.049","0.000","1.918","0.342","1.620",NA,"-0.40%","0.03%","-2.02%","123.3","6.271","-0.059","0.079","45.11","54.88","53.58","46.41","-1.474","-1.239"
"2007","AVGOP","2007-10-31","1,527","1,165","362","467","205","193","69.0","-105","-109","0.00","109","2.00","-212","8.00","-61.0","-159","176","71.0","-0.074","-0.074","2,140","2,140",NA,"-21.80","2.270","5.003","31.81","23.75","0.848","57.28",NA,"2.234","1.798","0.963","0.466","1.312","0.566","0.567","-0.963","0.161",NA,"23.71%","-6.88%","-13.88%","-10.41%","9.56%","7.14%",NA,"-8.15%","-22.94%","-6.44%","-8.25%",NA,"7.005","6.005","8.321","5.229","0.783",NA,"0.714","0.068","0.051","0.144","-0.074","0.033","0.000","1.900","0.324","1.620",NA,"0.00%","0.00%","-3.77%","0.000","3.946","-0.069","0.046","52.11","43.86","60.78","35.19","-0.918","-0.686"
"2008","AVGOP","2008-10-31","1,699","1,044","655","495","265","196","34.0","160","-86.0","0.00","86.0","-14.0","60.0","3.00","-26.0","83.0","159","319","0.039","0.038","2,140","2,190",NA,"41.77","2.040","4.445","25.31","16.67","-0.274","12.43",NA,"1.887","1.314","0.649","0.379","0.910","0.474","0.477","1.860","0.293",NA,"38.55%","9.42%","3.53%","4.89%","12.24%","8.06%",NA,"4.44%","10.64%","10.37%","11.43%",NA,"8.895","6.000","5.553","5.682","0.908",NA,"0.794","0.097","0.064","0.100","0.039","0.149","0.000","1.852","0.364","1.620",NA,"0.00%","0.00%","5.00%","0.000","2.930","0.094","0.188","41.03","65.73","60.83","45.93","2.506","1.651"
"2009","AVGOP","2009-10-31","1,484","924","560","512","245","169","98.0","48.0","-77.0","0.00","77.0","-7.00","-36.0","8.00","0.00","-44.0","160","208","-0.020","-0.020","2,190","2,190",NA,"-74.66","2.214","3.159","40.56","23.63","0.493","16.4",NA,"1.365","1.109","0.746","0.304","0.576","0.181","0.365","0.623","0.232",NA,"37.74%","3.23%","-2.43%","-2.96%","9.37%","5.46%",NA,"-2.23%","-4.23%","3.59%","6.78%",NA,"7.770","6.000","5.704","5.621","0.753",NA,"0.678","0.063","0.037","0.216","-0.020","0.095","0.000","1.558","0.475","1.500",NA,"0.00%","0.00%","-22.22%","0.380","2.397","0.032","0.14","46.98","63.99","60.83","50.14","-3.159","-1.841"
"2010","AVGOP","2010-10-31","2,093","1,127","966","500","280","196","24.0","466","-34.0","0.00","34.0","-26.0","406","-9.00","0.00","415","159","625","0.170","0.170","2,380","2,460",NA,"13.65","2.706","3.764","13.14","11.11","-0.014","8.543",NA,"1.924","1.589","0.993","0.109","0.157","0.000","0.136","13.71","2.161",NA,"46.15%","22.26%","19.40%","19.83%","24.37%","20.59%",NA,"19.24%","27.57%","29.27%","46.20%",NA,"7.217","5.692","5.963","7.448","0.970",NA,"0.879","0.214","0.181","0.236","0.174","0.263","0.000","2.243","0.632","2.380",NA,"0.00%","0.00%","-2.22%","2.217","6.456","0.223","0.299","50.57","61.21","64.13","47.66","1.229","1.039"
"2011","AVGOP","2011-10-31","2,336","1,189","1,147","563","317","220","26.0","584","-3.00","1.00","4.00","-20.0","561","9.00","0.00","552","157","741","0.230","0.220","2,450","2,520",NA,"15.00","3.545","4.128","13.49","11.41","0.425","10.06",NA,"3.980","3.426","2.369","0.002","0.003","0.000","0.003","146.0","121.0",NA,"49.10%","25.00%","24.02%","23.63%","31.08%","26.28%",NA,"22.57%","27.52%","27.86%","45.35%",NA,"7.057","5.380","6.129","7.392","0.955",NA,"0.953","0.296","0.251","0.338","0.225","0.302","0.035","3.044","0.819","3.380",NA,"15.58%","1.04%","1.60%","0.000","6.482","0.250","0.317","51.72","59.55","67.84","43.43","1.315","1.112"
"2012","AVGOP","2012-10-31","2,364","1,222","1,142","560","335","199","26.0","582","3.00","4.00","1.00","0.00","585","22.0","0.00","563","155","737","0.230","0.230","2,450","2,500",NA,"14.36","3.420","3.342","17.89","11.67","0.000","9.503",NA,"4.887","4.327","3.133","0.001","0.001","0.000","0.001","582.0","231.0",NA,"48.31%","24.62%","24.75%","23.82%","29.31%","19.12%",NA,"19.67%","23.27%","23.13%","39.11%",NA,"6.585","4.927","6.299","4.700","0.826",NA,"0.965","0.283","0.184","0.442","0.230","0.301","0.056","2.859","0.987","3.300",NA,"24.33%","1.69%","3.76%","0.000","2.876","0.246","0.312","55.43","57.95","74.08","39.30","1.231","0.803"
"2013","AVGOP","2013-10-31","2,520","1,323","1,197","645","397","222","26.0","552","2.00","4.00","2.00","14.0","568","16.0","0.00","552","187","739","0.220","0.220","2,470","2,520",NA,"20.31","4.450","3.886","23.07","15.53","-4.672","13.83",NA,"4.298","3.624","2.329","0.001","0.001","0.000","0.001","276.0","361.0",NA,"47.50%","21.90%","22.54%","21.90%","28.65%","19.29%",NA,"16.16%","19.13%","18.45%","26.73%",NA,"6.029","4.759","4.642","3.812","0.738",NA,"1.020","0.292","0.197","0.404","0.223","0.299","0.080","4.136","1.168","4.540",NA,"35.87%","1.77%","2.82%","0.000","3.059","0.219","0.293","60.54","78.63","76.70","62.47","1.308","0.880"
"2014","AVGOP","2014-10-31","4,269","2,392","1,877","1,439","695","407","337","438","-104","6.00","110","8.00","342","33.0","46.0","263","625","1,063","0.110","0.099","2,510","2,670",NA,"82.36","5.074","6.679","28.28","18.44","-1.647","24.03",NA,"3.716","3.212","1.559","0.525","1.699","0.627","0.629","3.982","0.213",NA,"43.97%","10.26%","8.01%","6.16%","27.52%","17.94%",NA,"2.51%","8.11%","4.63%","5.04%",NA,"5.459","4.645","4.609","3.687","0.407",NA,"1.701","0.468","0.305","0.649","0.105","0.424","0.113","10.18","1.292","8.630",NA,"107.98%","1.31%","9.65%","25.54","2.873","0.103","0.249","66.86","79.20","78.58","67.47","4.468","2.913"
"2015","AVGOP","2015-10-31","6,824","3,271","3,553","1,921","1,049","486","386","1,632","-183","8.00","191","18.0","1,467","76.0","27.0","1,364","962","2,594","0.520","0.490","2,640","2,810",NA,"23.83","4.762","6.894","18.84","14.02","0.064","13.35",NA,"3.374","2.905","1.628","0.373","0.838","0.448","0.456","8.545","0.587",NA,"52.07%","23.92%","21.50%","19.99%","33.97%","25.28%",NA,"12.88%","28.94%","17.23%","20.23%",NA,"6.697","5.301","6.242","4.674","0.644",NA,"2.585","0.878","0.653","0.690","0.517","0.983","0.155","13.12","1.786","12.31",NA,"29.91%","1.26%","5.18%","50.39","3.909","0.239","0.38","54.50","58.47","68.85","44.13","1.699","1.265"
