Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 ","2006
  12-31 ","2005
  12-31 ","2004
  12-31 ","2003
  12-31 ","2002
  12-31 ","2001
  12-31 ","2000
  12-31 ","1999
  12-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,22.53,23.53,23.91,19.22,25.44,29.63,27.01,23.63,57.66,27.98,32.59,25.37,29.32,21.58,21.43,22.27,30.09,22.88,51.16,45.13,78.16,131.9,326.7,346.3,"4,941",-229.1,-711.2
priceSalesRatio,6.46,6.732,5.739,4.075,7.507,6.537,5.731,5.309,6.586,6.037,7.105,5.434,6.240,4.617,5.504,6.461,8.295,4.437,12.96,13.10,18.66,16.51,23.54,78.53,399.3,176.1,0.000
priceToBookRatio,6.94,7.248,6.226,4.500,7.686,5.362,4.605,4.089,4.787,3.920,4.428,3.432,4.276,3.230,3.588,4.097,5.449,3.424,9.479,8.151,12.16,17.98,58.62,198.4,0.000,123.6,0.000
priceToFreeCashFlowsRatio,31.06,32.38,25.39,19.21,28.86,27.85,29.95,31.81,30.54,21.10,33.07,31.41,33.03,17.36,18.75,26.82,23.06,17.60,63.77,82.78,70.65,80.03,157.9,292.3,"1,917",0.000,0.000
priceToOperatingCashFlowsRatio,18,18.80,17.34,12.60,21.10,18.32,17.02,15.14,19.68,15.12,20.47,16.03,20.01,13.94,14.32,17.10,21.06,12.31,37.24,38.79,46.57,53.90,87.28,222.3,"1,113",0.000,0.000
priceEarningsToGrowthRatio,3.367,0.625,0.878,-0.994,0.276,1.531,2.211,0.165,-1.605,1.248,3.875,2.461,1.603,2.312,1.795,0.772,0.568,0.000,1.663,0.451,0.305,0.353,47.04,0.258,-47.26,-1.069,0.000
none-1,16.75,20.31,17.48,12.1,19.97,19.69,17.88,16.99,19.1,15.49,19.04,13.95,16.54,11.26,12.38,13.41,0,0,0,0,0,64.07,86,159.6,0,0,0
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
currentRatio,1.837,1.837,2.097,2.378,2.928,3.067,3.374,3.919,5.140,6.291,4.667,4.801,4.582,4.217,5.919,4.158,10.62,8.765,8.493,9.995,12.08,7.913,2.379,2.590,0.000,0.000,0.000
quickRatio,1.837,1.837,2.097,2.339,2.910,3.054,3.352,3.887,5.109,6.275,4.641,4.723,4.555,4.181,5.895,4.132,10.38,8.641,8.493,9.995,12.08,7.913,2.379,2.590,0.000,0.000,0.000
cashRatio,0.263,0.263,0.294,0.316,0.326,0.466,0.409,0.482,0.443,0.771,0.857,1.092,1.188,1.031,1.120,1.364,3.712,3.760,2.988,2.717,5.202,1.254,0.633,0.645,0.000,0.000,0.000
debtRatio,0.057,0.050,0.071,0.081,0.073,0.078,0.054,0.017,0.020,0.023,0.035,0.040,0.047,0.059,0.058,0.060,0.000,0.000,0.000,0.000,0.000,0.001,0.008,0.038,0.000,0.000,0.000
debtEquityRatio,0.078,0.069,0.101,0.116,0.104,0.113,0.073,0.023,0.026,0.028,0.043,0.050,0.060,0.077,0.072,0.075,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.062,0.000,0.000,0.000
longTermDebtToCapitalization,0.032,0.065,0.039,0.096,0.094,0.101,0.068,0.022,0.025,0.028,0.016,0.028,0.022,0.040,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000
totalDebtToCapitalization,0.073,0.065,0.091,0.104,0.094,0.101,0.068,0.022,0.025,0.028,0.042,0.048,0.057,0.072,0.067,0.070,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.059,0.000,0.000,0.000
interestCoverage,522.7,0.000,273.7,209.6,227.5,305.4,342.3,241.4,240.2,191.3,186.2,163.3,185.6,164.7,202.4,17.93,36.19,17.03,"4,226",0.000,"2,600",742.7,177.4,72.55,0.000,0.000,0.000
cashFlowToDebtRatio,4.921,5.551,3.570,3.083,3.497,2.597,3.692,11.96,9.345,9.158,4.985,4.273,3.557,3.001,3.465,3.198,0.000,0.000,0.000,0.000,0.000,513.7,59.83,14.29,0.000,0.000,0.000
Margins,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,58.27%,58.20%,56.63%,55.38%,56.94%,53.58%,55.58%,56.48%,58.88%,61.08%,62.44%,61.07%,56.78%,58.88%,65.21%,64.47%,62.61%,60.44%,59.93%,60.16%,58.11%,54.29%,57.31%,70.08%,83.54%,68.18%,0.00%
operatingProfitMargin,32.13%,32.11%,27.42%,26.46%,30.55%,22.59%,21.15%,20.12%,23.61%,26.27%,25.82%,24.99%,25.75%,27.57%,30.98%,35.40%,35.15%,30.43%,30.64%,33.48%,32.86%,20.07%,23.36%,42.43%,12.69%,-77.12%,0.00%
pretaxProfitMargin,34.25%,34.23%,27.89%,25.22%,35.22%,26.34%,24.48%,25.52%,24.53%,26.75%,26.21%,26.15%,26.58%,28.84%,32.52%,36.82%,35.44%,26.85%,34.19%,37.82%,34.89%,20.39%,23.65%,42.07%,11.65%,-76.88%,0.00%
netProfitMargin,28.62%,28.60%,24.01%,21.20%,29.51%,22.06%,21.22%,22.46%,11.42%,21.58%,21.80%,21.42%,21.28%,21.40%,25.69%,29.01%,27.57%,19.39%,25.33%,29.02%,23.87%,12.51%,7.21%,22.67%,8.08%,-76.88%,0.00%
operatingCashFlowSalesRatio,35.82%,35.80%,33.10%,32.35%,35.57%,35.68%,33.68%,35.06%,33.46%,39.92%,34.70%,33.90%,31.19%,33.12%,38.43%,37.79%,39.39%,36.03%,34.80%,33.76%,40.07%,30.64%,26.98%,35.33%,35.87%,,0.00%
freeCashFlowMargin,20.8%,20.79%,22.61%,21.22%,26.01%,23.47%,19.14%,16.69%,21.57%,28.61%,21.48%,17.30%,18.89%,26.60%,29.35%,24.09%,35.97%,25.21%,20.32%,15.82%,26.41%,20.63%,14.91%,26.86%,20.83%,0.00%,0.00%
Return,,,,,,,,,,,,,,,,,,,,,,,,,,,
returnOnAssets,22.24%,22.24%,18.34%,16.42%,21.16%,12.60%,12.45%,13.20%,6.42%,11.63%,11.09%,10.78%,11.48%,11.45%,13.42%,14.70%,16.10%,13.31%,16.59%,16.66%,14.27%,12.05%,12.12%,34.74%,0.00%,-31.34%,0.00%
returnOnEquity,32.48%,30.80%,26.04%,23.41%,30.22%,18.09%,17.05%,17.30%,8.30%,14.01%,13.59%,13.53%,14.58%,14.97%,16.75%,18.39%,18.11%,14.97%,18.53%,18.06%,15.56%,13.63%,17.94%,57.29%,0.00%,-53.94%,0.00%
returnOnCapitalEmployed,31.12%,31.12%,26.29%,25.29%,26.68%,15.69%,14.84%,13.89%,15.12%,15.73%,15.11%,14.43%,16.21%,17.41%,18.44%,21.69%,22.02%,22.51%,21.82%,20.68%,21.18%,21.53%,53.85%,94.47%,0.00%,-31.44%,0.00%
