Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,29.25,23.79,23.30,13.94,24.05,26.72,31.69,17.13,32.74,32.94,80.96,70.70,91.70,"2,662",92.52,152.7,670.0,"-1,460",-592.3
priceSalesRatio,11.09,9.019,6.754,2.773,8.029,9.059,8.286,6.785,12.82,12.14,16.57,16.59,17.37,16.74,24.93,46.87,105.2,300.5,534.2
priceToBookRatio,9.987,8.124,5.948,2.572,7.582,6.070,5.797,4.503,7.010,5.669,6.718,5.729,8.838,7.247,18.88,42.79,0.000,0.000,0.000
priceToFreeCashFlowsRatio,33.73,27.44,20.78,16.98,24.21,32.95,27.62,24.67,29.81,28.89,48.89,57.03,47.81,226.0,98.11,228.4,670.0,0.000,0.000
priceToOperatingCashFlowsRatio,19.97,16.25,12.81,6.406,16.41,20.10,16.13,12.94,21.52,20.83,34.55,37.89,32.38,52.84,59.73,132.5,527.3,0.000,0.000
priceEarningsToGrowthRatio,3.463,0.384,0.307,-0.364,0.652,0.463,-2.072,0.435,0.604,0.192,4.773,0.877,0.031,-28.67,1.067,0.938,-2.107,24.58,0.000
none-1,19.93,17.14,15.24,7.32,16.68,18.4,15.59,11.57,20.64,0,34.12,31.4,31.98,65.64,42.95,77.89,0,0,0
Liquidity Ratios,,,,,,,,,,,,,,,,,,,
currentRatio,2.978,2.978,2.671,2.203,3.154,5.051,4.399,7.194,12.92,11.97,11.25,9.600,11.88,10.71,5.121,5.774,0.000,0.000,0.000
quickRatio,2.978,2.978,2.671,2.203,3.154,5.051,4.399,7.194,12.92,11.97,11.25,9.600,11.88,10.71,5.121,5.774,0.000,0.000,0.000
cashRatio,1.306,1.306,1.310,0.543,0.785,1.173,1.267,1.428,2.149,3.097,2.549,3.030,3.021,2.266,1.682,4.589,0.000,0.000,0.000
debtRatio,0.178,0.178,0.162,0.143,0.084,0.067,0.077,0.005,0.001,0.000,0.002,0.006,0.027,0.156,0.107,0.158,0.000,0.000,0.000
debtEquityRatio,0.269,0.269,0.243,0.212,0.111,0.083,0.102,0.006,0.001,0.000,0.003,0.006,0.031,0.200,0.138,0.219,0.000,0.000,0.000
longTermDebtToCapitalization,0.205,0.205,0.107,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,0.000,0.104,0.000,0.000,0.000
totalDebtToCapitalization,0.212,0.212,0.196,0.175,0.100,0.077,0.093,0.006,0.001,0.000,0.003,0.006,0.030,0.167,0.121,0.180,0.000,0.000,0.000
interestCoverage,111.7,127.5,104.8,121.6,101.4,48.62,"1,449","2,768","3,367","1,243",270.7,217.1,52.16,10.55,41.81,46.91,26.20,-55.00,-11.27
cashFlowToDebtRatio,1.862,1.862,1.910,1.898,4.158,3.637,3.517,58.55,336.3,0.000,75.43,23.42,8.870,0.684,2.288,1.476,0.000,0.000,0.000
Margins,,,,,,,,,,,,,,,,,,,
grossProfitMargin,81.66%,81.67%,80.76%,78.35%,80.79%,80.58%,81.94%,83.25%,86.58%,86.29%,84.01%,82.73%,76.18%,73.20%,76.83%,75.03%,71.30%,54.41%,73.20%
operatingProfitMargin,42.18%,42.18%,34.66%,28.78%,39.65%,38.01%,41.00%,44.62%,49.70%,44.96%,34.72%,40.06%,37.11%,10.57%,47.32%,52.28%,33.72%,-20.22%,-81.05%
pretaxProfitMargin,42.96%,42.96%,35.16%,24.71%,40.10%,38.60%,35.10%,45.42%,50.66%,45.29%,34.55%,39.39%,34.98%,9.71%,45.68%,51.06%,32.69%,-20.59%,-88.24%
netProfitMargin,37.91%,37.91%,28.98%,19.90%,33.38%,33.90%,26.15%,39.60%,39.16%,36.86%,20.47%,23.46%,18.94%,0.63%,26.95%,30.70%,15.70%,-20.59%,-90.20%
operatingCashFlowSalesRatio,55.52%,55.52%,52.71%,43.29%,48.91%,45.07%,51.37%,52.43%,59.57%,58.28%,47.96%,43.78%,53.63%,31.68%,41.74%,35.36%,19.95%,,
freeCashFlowMargin,32.87%,32.87%,32.50%,16.33%,33.17%,27.49%,30.00%,27.51%,43.01%,42.03%,33.89%,29.09%,36.33%,7.41%,25.41%,20.52%,15.70%,0.00%,0.00%
Return,,,,,,,,,,,,,,,,,,,
returnOnAssets,22.59%,22.59%,17.03%,12.49%,23.72%,18.29%,13.86%,22.72%,18.83%,15.68%,7.43%,7.28%,8.33%,0.21%,15.80%,20.27%,0.00%,0.00%,0.00%
returnOnEquity,38.17%,34.14%,25.53%,18.45%,31.53%,22.72%,18.29%,26.28%,21.41%,17.21%,8.30%,8.10%,9.64%,0.27%,20.41%,28.03%,0.00%,0.00%,0.00%
returnOnCapitalEmployed,28.62%,28.62%,23.65%,21.14%,32.28%,22.64%,24.50%,27.58%,25.01%,20.02%,13.11%,12.88%,17.39%,3.83%,32.33%,39.68%,0.00%,0.00%,0.00%
