"Year","stock","Report Filing","revenue","costOfRevenue","grossProfit","calculatedOperatingExpenses","researchAndDevelopmentExpenses","sellingGeneralAndAdministrativeExpenses","calculatedOtherExpenses","operatingIncome","calculatedNetInterest","interestIncome","interestExpense","calculatedOtherIncome","incomeBeforeTax","incomeTaxExpense","calculatedIncomeNonControlling","netIncome","depreciationAndAmortization","ebitda","eps","epsdiluted","weightedAverageShsOut","weightedAverageShsOutDil","Price Ratios","priceEarningsRatio","priceSalesRatio","priceToBookRatio","priceToFreeCashFlowsRatio","priceToOperatingCashFlowsRatio","priceEarningsToGrowthRatio","none-1","Liquidity Ratios","currentRatio","quickRatio","cashRatio","debtRatio","debtEquityRatio","longTermDebtToCapitalization","totalDebtToCapitalization","interestCoverage","cashFlowToDebtRatio","Margins","grossProfitMargin","operatingProfitMargin","pretaxProfitMargin","netProfitMargin","operatingCashFlowSalesRatio","freeCashFlowMargin","Return","returnOnAssets","returnOnEquity","returnOnCapitalEmployed","returnOnInvestedCapital","Turnover Ratios","receivablesTurnover","payablesTurnover","inventoryTurnover","fixedAssetTurnover","assetTurnover","Per Share Items (USD)","revenuePerShare","operatingCashFlowPerShare","freeCashFlowPerShare","cashPerShare","earningsPerShare","EBITDA Per Share","dividendPerShare","evPerShare","bookValuePerShare","pricePerShare","Dividend Ratios","payoutRatio","dividendYield","effectiveTaxRate","shortTermCoverageRatios","capitalExpenditureCoverageRatio","ebitPerRevenue","none-2","daysOfSalesOutstanding","daysOfInventoryOutstanding","daysOfPayablesOutstanding","cashConversionCycle","cashConversionRatio","freeCashFlowToEarnings"
"2007","META","2007-12-31","153","41.0","112","236","81.0","155","0.00","-124","-11.0","0.00","11.0","0.00","-135","3.00","0.00","-138","0.00","-124","-0.064","-0.064","2,138","2,138",NA,"-592.3","534.2","0.000","0.000","0.000","0.000","0",NA,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","-11.27","0.000",NA,"73.20%","-81.05%","-88.24%","-90.20%",NA,"0.00%",NA,"0.00%","0.00%","0.00%","0.00%",NA,"0.000","0.000","0.000","0.000","0.000",NA,"0.000",NA,NA,NA,"0.000","-0.058","0.000","0.000","0.000","0.000",NA,NA,NA,"-2.22%","0.000","0.000","-0.810","-0.81",NA,NA,NA,"0.000","0.000","0.000"
"2008","META","2008-12-31","272","124","148","203","47.0","156","0.00","-55.0","-1.00","0.00","1.00","0.00","-56.0","0.00","0.00","-56.0","0.00","-55.0","-0.026","-0.026","2,138","2,138",NA,"-1,460","300.5","0.000","0.000","0.000","24.58","0",NA,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","-55.00","0.000",NA,"54.41%","-20.22%","-20.59%","-20.59%",NA,"0.00%",NA,"0.00%","0.00%","0.00%","0.00%",NA,"0.000","0.000","0.000","0.000","0.000",NA,"0.000",NA,NA,NA,"0.000","-0.026","0.000","0.000","0.000","0.000",NA,NA,NA,"0.00%","0.000","0.000","-0.202","-0.202",NA,NA,NA,"0.000","0.000","0.000"
"2009","META","2009-12-31","777","223","554","292","87.0","205","0.00","262","-10.0","0.00","10.0","2.00","254","25.0","107","122","78.0","340","0.057","0.057","2,138","2,138",NA,"670.0","105.2","0.000","670.0","527.3","-2.107","0",NA,"0.000","0.000","0.000","0.000","0.000","0.000","0.000","26.20","0.000",NA,"71.30%","33.72%","32.69%","15.70%","19.95%","15.70%",NA,"0.00%","0.00%","0.00%","0.00%",NA,"0.000","0.000","0.000","0.000","0.000",NA,"0.363","0.072","0.057",NA,"0.057","0.159","0.000","0.000","0.000","0.000",NA,"0.00%","0.00%","9.84%","0.000","4.697","0.337","0.438",NA,NA,NA,"0.000","1.270","1.000"
"2010","META","2010-12-31","1,974","493","1,481","449","144","305","0.00","1,032","-21.0","1.00","22.0","-3.00","1,008","402","0.00","606","139","1,171","0.150","0.150","2,420","2,517",NA,"152.7","46.87","42.79","228.4","132.5","0.938","77.89",NA,"5.774","5.774","4.589","0.158","0.219","0.104","0.180","46.91","1.476",NA,"75.03%","52.28%","51.06%","30.70%","35.36%","20.52%",NA,"20.27%","28.03%","39.68%","76.03%",NA,"5.292","17.00","0.000","3.439","0.660",NA,"0.816","0.288","0.167","0.738","0.250","0.484","0.000","37.69","0.893","38.23",NA,"0.00%","0.00%","39.88%","0.000","2.382","0.523","0.593","68.97","0.000","21.47","47.50","1.152","0.668"
"2011","META","2011-12-31","3,711","860","2,851","1,095","388","707","0.00","1,756","-38.0","4.00","42.0","-23.0","1,695","695","0.00","1,000","323","2,079","0.280","0.280","2,420","2,517",NA,"92.52","24.93","18.88","98.11","59.73","1.067","42.95",NA,"5.121","5.121","1.682","0.107","0.138","0.000","0.121","41.81","2.288",NA,"76.83%","47.32%","45.68%","26.95%","41.74%","25.41%",NA,"15.80%","20.41%","32.33%","26.43%",NA,"6.784","13.65","0.000","2.516","0.586",NA,"1.533","0.640","0.390","1.615","0.413","0.859","0.000","36.89","2.024","38.23",NA,"0.00%","0.00%","41.00%","0.000","2.556","0.473","0.56","53.80","0.000","26.74","27.06","1.549","0.943"
"2012","META","2013-02-01","5,089","1,364","3,725","3,187","1,399","1,788","0.00","538","-37.0","14.0","51.0","-7.00","494","441","21.0","32.0","649","1,187","0.020","0.010","3,200","2,166",NA,"2,662","16.74","7.247","226.0","52.84","-28.67","65.64",NA,"10.71","10.71","2.266","0.156","0.200","0.113","0.167","10.55","0.684",NA,"73.20%","10.57%","9.71%","0.63%","31.68%","7.41%",NA,"0.21%","0.27%","3.83%","0.49%",NA,"4.350","20.98","0.000","2.128","0.337",NA,"1.590","0.504","0.118","3.008","0.010","0.371","0.000","24.35","3.673","26.62",NA,"0.00%","0.00%","89.27%","4.416","1.305","0.106","0.233","83.92","0.000","17.39","66.52","50.38","11.78"
"2013","META","2014-01-31","7,872","1,875","5,997","3,076","1,415","1,778","-117","2,921","-37.0","19.0","56.0","-130","2,754","1,254","9.00","1,491","1,011","3,932","0.620","0.600","2,502","2,517",NA,"91.70","17.37","8.838","47.81","32.38","0.031","31.98",NA,"11.88","11.88","3.021","0.027","0.031","0.000","0.030","52.16","8.870",NA,"76.18%","37.11%","34.98%","18.94%","53.63%","36.33%",NA,"8.33%","9.64%","17.39%","11.81%",NA,"7.098","21.55","0.000","2.731","0.440",NA,"3.146","1.688","1.143","4.576","0.596","1.572","0.000","50.26","6.183","54.65",NA,"0.00%","0.00%","45.53%","17.67","3.100","0.371","0.499","51.42","0.000","16.94","34.48","2.832","1.918"
"2014","META","2015-02-13","12,466","2,153","10,313","5,319","2,666","2,653","0.00","4,994","4.00","27.0","23.0","-88.0","4,910","1,970","15.0","2,925","1,243","6,237","1.120","1.100","2,650","2,664",NA,"70.70","16.59","5.729","57.03","37.89","0.877","31.4",NA,"9.600","9.600","3.030","0.006","0.006","0.000","0.006","217.1","23.42",NA,"82.73%","40.06%","39.39%","23.46%","43.78%","29.09%",NA,"7.28%","8.10%","12.88%","8.68%",NA,"7.429","12.23","0.000","3.142","0.310",NA,"4.703","2.059","1.368","4.225","1.104","2.353","0.000","73.88","13.62","78.02",NA,"0.00%","0.00%","40.12%","47.87","2.980","0.401","0.5","49.13","0.000","29.84","19.29","1.866","1.240"
"2015","META","2016-04-27","17,928","2,867","15,061","8,836","4,816","4,020","0.00","6,225","29.0","52.0","23.0","-60.0","6,194","2,506","19.0","3,669","1,945","8,170","1.310","1.290","2,838","2,853",NA,"80.96","16.57","6.718","48.89","34.55","4.773","34.12",NA,"11.25","11.25","2.549","0.002","0.003","0.000","0.003","270.7","75.43",NA,"84.01%","34.72%","34.55%","20.47%","47.96%","33.89%",NA,"7.43%","8.30%","13.11%","8.71%",NA,"7.006","14.63","0.000","3.152","0.363",NA,"6.316","3.030","2.141","6.495","1.293","2.878","0.000","98.21","15.58","104.7",NA,"0.00%","0.00%","40.46%","42.78","3.408","0.347","0.456","52.10","0.000","24.95","27.15","2.344","1.656"
"2016","META","2017-02-03","27,638","3,789","23,849","11,422","5,919","5,503","0.00","12,427","166","176","10.0","-75.0","12,518","2,301","29.0","10,188","2,342","14,769","3.560","3.490","2,917","2,925",NA,"32.94","12.14","5.669","28.89","20.83","0.192","0",NA,"11.97","11.97","3.097","0.000","0.000","0.000","0.000","1,243","0.000",NA,"86.29%","44.96%","45.29%","36.86%","58.28%","42.03%",NA,"15.68%","17.21%","20.02%","19.07%",NA,"6.922","12.55","0.000","3.217","0.425",NA,"9.476","5.523","3.983","10.10","3.493","5.064","0.000","0.000","20.29","115.0",NA,"0.00%","0.00%","18.38%","0.000","3.587","0.450","0.534","52.73","0.000","29.09","23.64","1.581","1.140"
"2017","META","2018-02-01","40,653","5,454","35,199","14,996","7,754","7,242","0.00","20,203","392","398","6.00","-1.00","20,594","4,660","14.0","15,920","3,025","23,228","5.490","5.390","2,953","2,956",NA,"32.74","12.82","7.010","29.81","21.52","0.604","20.64",NA,"12.92","12.92","2.149","0.001","0.001","0.000","0.001","3,367","336.3",NA,"86.58%","49.70%","50.66%","39.16%","59.57%","43.01%",NA,"18.83%","21.41%","25.01%","21.51%",NA,"6.971","14.35","0.000","2.963","0.481",NA,"13.76","8.199","5.920","14.12","5.390","7.865","0.000","162.4","25.17","176.5",NA,"0.00%","0.00%","22.63%","71.22","3.597","0.497","0.571","52.36","0.000","25.43","26.93","1.521","1.098"
"2018","META","2019-01-31","55,838","9,355","46,483","21,570","10,273","11,297","0.00","24,913","652","661","9.00","-204","25,361","3,249","1.00","22,111","4,315","29,228","7.650","7.570","2,890","2,921",NA,"17.13","6.785","4.503","24.67","12.94","0.435","11.57",NA,"7.194","7.194","1.428","0.005","0.006","0.000","0.006","2,768","58.55",NA,"83.25%","44.62%","45.42%","39.60%","52.43%","27.51%",NA,"22.72%","26.28%","27.58%","27.05%",NA,"7.360","11.41","0.000","2.262","0.574",NA,"19.32","10.13","5.315","14.23","7.651","10.11","0.000","117.0","29.11","131.1",NA,"0.00%","0.00%","12.81%","58.55","2.104","0.446","0.523","49.59","0.000","31.99","17.60","1.324","0.695"
