Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  06-30 ","2023
  06-30 ","2022
  06-30 ","2021
  06-30 ","2020
  06-30 ","2019
  06-30 ","2018
  06-30 ","2017
  06-30 ","2016
  06-30 ","2015
  06-30 ","2014
  06-30 ","2013
  06-30 ","2012
  06-30 ","2011
  06-30 ","2010
  06-30 ","2009
  06-30 ","2008
  06-30 ","2007
  06-30 ","2006
  06-30 ","2005
  06-30 ","2004
  06-30 ","2003
  06-30 ","2002
  06-30 ","2001
  06-30 ","2000
  06-30 ","1999
  06-30 ","1998
  06-30 ","1997
  06-30 ","1996
  06-30 ","1995
  06-30 ","1994
  06-30 ","1993
  06-30 ","1992
  06-30 ","1991
  06-30 ","1990
  06-30 ","1989
  06-30 ","1988
  06-30 ","1987
  06-30 ","1986
  06-30 "
Price Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,32.98,38.51,35.04,26.47,33.37,34.97,26.53,45.82,20.95,19.74,29.61,15.68,13.16,15.13,9.535,10.81,14.59,14.51,20.41,19.30,21.97,37.77,36.51,36.36,53.08,43.88,58.24,58.69,43.70,32.51,39.01,27.51,27.50,27.38,27.09,30.29,14.72,23.26,35.42,19.95
priceSalesRatio,11.68,13.85,11.97,9.710,12.16,10.83,8.273,6.880,5.529,4.449,3.858,3.985,3.696,3.484,3.156,3.245,3.638,4.247,5.616,5.492,6.767,8.376,8.542,10.04,15.41,18.01,22.96,17.27,12.65,8.230,9.547,6.781,6.983,7.027,6.800,7.145,3.124,4.879,7.362,3.969
priceToBookRatio,10.11,12.64,12.30,11.56,14.40,13.09,10.17,9.179,6.087,5.632,4.508,3.854,3.645,3.870,3.867,4.392,5.375,7.072,9.232,6.064,5.596,4.123,4.506,5.455,8.245,9.992,15.94,15.85,14.01,10.33,10.63,7.084,8.084,8.839,9.280,9.205,4.468,7.676,10.65,5.628
priceToFreeCashFlowsRatio,43.67,45.82,42.63,29.55,36.43,34.24,27.21,23.54,17.02,16.23,15.60,12.94,11.71,8.759,8.959,9.178,13.36,13.92,18.48,18.96,17.05,22.83,18.44,20.72,31.65,31.60,48.00,42.34,36.02,22.13,37.91,23.97,31.27,32.83,42.71,70.35,18.86,0.000,0.000,0.000
priceToOperatingCashFlowsRatio,24.36,28.63,28.95,21.62,26.64,25.52,19.95,17.30,13.51,12.17,12.41,10.74,9.980,8.121,8.177,8.424,11.17,11.87,16.13,16.88,16.21,21.09,17.40,19.62,29.05,29.61,45.21,38.30,32.19,19.19,28.48,19.79,24.40,21.37,22.47,30.38,11.28,0.000,0.000,0.000
priceEarningsToGrowthRatio,12.21,1.749,170.0,1.360,0.844,2.517,0.193,-2.128,0.716,0.467,-0.673,8.184,0.451,-0.582,0.338,0.352,-1.027,0.454,1.074,2.727,0.451,4.407,-13.14,8.363,-2.362,2.815,0.864,2.113,0.874,0.455,2.341,1.375,1.100,0.602,0.474,0.757,0.589,0.233,0.000,0.000
none-1,19.4,25.94,24.46,19.41,24.7,22.9,18.21,15.84,13.46,10.84,12.44,8.617,7.459,8.319,6.011,6.423,8.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,16.73,18.69,8.796,0,0,0
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
currentRatio,1.351,1.275,1.769,1.785,2.080,2.516,2.529,2.901,2.868,2.353,2.512,2.504,2.712,2.603,2.604,2.129,1.823,1.447,1.691,2.184,2.888,4.714,4.220,3.812,4.283,3.107,2.299,2.773,2.873,3.233,4.172,4.723,5.062,3.960,3.505,3.854,2.953,2.936,4.571,5.017
quickRatio,1.342,1.265,1.745,1.745,2.050,2.490,2.499,2.855,2.828,2.315,2.454,2.446,2.660,2.568,2.556,2.101,1.796,1.414,1.644,2.118,2.859,4.686,4.174,3.759,4.073,3.107,2.299,2.773,2.873,3.233,4.107,4.611,4.837,3.768,3.345,3.556,2.715,2.481,4.215,4.746
cashRatio,0.161,0.146,0.333,0.147,0.160,0.188,0.164,0.204,0.137,0.110,0.113,0.190,0.102,0.212,0.334,0.211,0.225,0.346,0.257,0.299,0.287,0.956,0.461,0.237,0.424,0.497,0.565,0.670,1.027,1.073,1.457,1.618,1.799,1.771,1.422,1.319,1.212,1.558,2.843,3.481
debtRatio,0.117,0.191,0.193,0.215,0.247,0.273,0.302,0.338,0.382,0.282,0.203,0.135,0.114,0.098,0.110,0.069,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.012,0.006,0.035,0.041,0.025,0.011
debtEquityRatio,0.206,0.364,0.385,0.471,0.579,0.694,0.845,1.058,1.089,0.758,0.442,0.258,0.206,0.180,0.209,0.129,0.145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.014,0.007,0.045,0.054,0.030,0.014
longTermDebtToCapitalization,0.158,0.137,0.169,0.220,0.261,0.335,0.394,0.466,0.464,0.360,0.258,0.187,0.138,0.139,0.173,0.097,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.013
