Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  01-28 ","2023
  01-29 ","2022
  01-30 ","2021
  01-31 ","2020
  01-26 ","2019
  01-27 ","2018
  01-28 ","2017
  01-29 ","2016
  01-31 ","2015
  01-25 ","2014
  01-26 ","2013
  01-27 ","2012
  01-29 ","2011
  01-30 ","2010
  01-31 ","2009
  01-25 ","2008
  01-31 ","2007
  01-28 ","2006
  01-29 ","2005
  01-30 ","2004
  01-25 ","2003
  01-26 ","2002
  01-27 ","2001
  01-28 ","2000
  01-30 ","1999
  01-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,51.65,51.83,109.1,62.68,75.43,52.36,20.26,48.52,35.72,25.91,18.06,20.66,13.88,15.37,54.35,-133.9,-145.4,16.96,23.68,25.63,37.91,51.87,16.93,54.93,33.45,29.04,68.83
priceSalesRatio,28.71,25.32,17.67,22.71,19.60,13.41,7.161,15.22,8.612,3.176,2.432,2.201,1.825,2.235,3.883,2.738,1.276,3.301,3.464,3.265,1.893,2.118,0.805,7.097,4.546,2.955,1.864
priceToBookRatio,49.44,35.89,21.56,22.97,19.34,12.00,8.981,19.79,10.33,3.560,2.577,2.040,1.618,2.155,4.325,3.417,1.824,5.167,5.297,5.321,3.229,3.672,1.648,12.72,8.239,8.881,4.396
priceToFreeCashFlowsRatio,57.52,57.08,125.1,75.17,69.61,34.27,26.70,50.82,39.78,14.61,14.54,15.67,12.19,11.60,23.81,22.20,-27.59,12.50,24.06,21.15,58.58,-49.54,7.615,"-36,130",105.9,257.3,-28.80
priceToOperatingCashFlowsRatio,55.26,54.91,84.47,67.11,56.13,30.75,22.42,42.21,35.59,13.54,12.57,10.88,9.476,9.827,20.36,18.67,17.52,10.65,18.11,17.37,28.78,77.71,5.801,60.44,49.23,69.60,-148.5
priceEarningsToGrowthRatio,2.078,0.091,-2.026,0.537,1.509,-1.780,0.659,0.705,0.204,0.000,0.381,-1.188,-3.332,0.130,-0.119,-1.103,1.400,0.237,0.592,0.110,2.058,-2.311,-0.332,0.977,0.244,0.083,0.000
none-1,36.34,44.3,82.36,53.66,57.34,42.78,19.3,41.87,26.18,13.12,8.335,7.875,4.689,6.834,25.5,75.75,27.46,0,0,0,14.5,18.87,4.053,32.39,20.32,16.35,57.21
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
currentRatio,4.105,4.171,3.516,6.650,4.090,7.674,7.944,8.027,4.693,2.483,6.376,5.949,4.892,4.199,3.423,3.163,2.784,2.987,3.181,3.531,3.098,3.151,3.562,2.847,8.433,2.273,2.146
quickRatio,3.64,3.674,2.730,6.049,3.625,7.125,6.758,7.337,4.256,2.311,5.837,5.539,4.462,3.834,3.057,2.741,2.094,2.616,2.625,2.950,2.349,2.450,3.180,2.354,7.618,1.780,1.539
cashRatio,0.553,0.685,0.516,0.459,0.216,6.108,0.588,3.471,0.971,0.244,0.554,1.218,0.751,0.718,0.706,0.570,0.536,0.752,0.852,1.258,0.495,0.642,0.914,0.768,6.111,0.808,1.068
debtRatio,0.106,0.168,0.288,0.264,0.264,0.147,0.150,0.178,0.286,0.205,0.194,0.189,0.003,0.004,0.005,0.007,0.008,0.000,0.000,0.000,0.001,0.003,0.192,0.206,0.296,0.016,0.074
debtEquityRatio,0.155,0.257,0.536,0.439,0.450,0.209,0.213,0.268,0.489,0.338,0.317,0.308,0.004,0.005,0.007,0.009,0.011,0.000,0.000,0.000,0.001,0.005,0.333,0.406,0.742,0.026,0.131
longTermDebtToCapitalization,0.114,0.164,0.305,0.305,0.281,0.173,0.175,0.210,0.256,0.000,0.239,0.236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.282,0.425,0.012,0.030
totalDebtToCapitalization,0.134,0.205,0.349,0.305,0.310,0.173,0.175,0.211,0.328,0.253,0.240,0.236,0.004,0.005,0.007,0.009,0.011,0.000,0.000,0.000,0.001,0.005,0.250,0.289,0.426,0.026,0.116
interestCoverage,285.3,128.3,16.12,42.55,24.63,54.73,65.59,52.62,33.34,15.89,16.45,47.52,196.8,209.9,81.79,-29.80,-174.1,0.000,0.000,0.000,0.000,0.000,0.000,21.94,0.000,0.000,0.000
cashFlowToDebtRatio,5.766,2.541,0.476,0.779,0.766,1.866,1.883,1.751,0.594,0.778,0.648,0.608,43.38,42.41,28.89,19.95,9.728,0.000,0.000,0.000,154.4,10.20,0.853,0.519,0.226,4.818,-0.226
Margins,,,,,,,,,,,,,,,,,,,,,,,,,,,
grossProfitMargin,75.86%,72.72%,56.93%,64.93%,62.34%,61.99%,61.21%,59.93%,58.80%,56.11%,55.53%,54.91%,52.02%,51.44%,39.77%,35.38%,34.29%,45.62%,42.38%,38.34%,32.31%,29.01%,30.17%,37.92%,39.58%,39.68%,31.84%
operatingProfitMargin,62.71%,54.12%,15.66%,37.31%,27.18%,26.07%,32.47%,33.05%,27.99%,14.91%,16.21%,12.01%,15.15%,16.22%,7.22%,-2.97%,-2.06%,20.41%,14.78%,14.32%,5.65%,4.95%,7.54%,17.65%,17.72%,14.53%,-1.52%
pretaxProfitMargin,64.37%,55.51%,15.50%,36.94%,26.44%,27.20%,33.25%,32.90%,27.57%,14.83%,16.12%,12.35%,15.47%,16.59%,7.65%,-2.47%,-1.25%,22.00%,16.11%,15.16%,6.24%,4.75%,7.88%,18.46%,19.99%,15.01%,2.97%
netProfitMargin,55.69%,48.85%,16.19%,36.23%,25.98%,25.61%,35.34%,31.37%,24.11%,12.26%,13.47%,10.65%,13.14%,14.53%,7.14%,-2.04%,-0.88%,19.46%,14.63%,12.74%,4.99%,4.08%,4.76%,12.92%,13.59%,10.17%,2.71%
operatingCashFlowSalesRatio,52.05%,46.11%,20.91%,33.84%,34.91%,43.61%,31.95%,36.05%,24.20%,23.45%,19.35%,20.22%,19.26%,22.74%,19.07%,14.66%,7.28%,31.00%,19.13%,18.79%,6.58%,2.73%,13.88%,11.74%,9.24%,4.25%,-1.25%
freeCashFlowMargin,49.92%,44.35%,14.12%,30.21%,28.15%,39.13%,26.83%,29.95%,21.65%,21.74%,16.73%,14.04%,14.97%,19.27%,16.31%,12.33%,-4.62%,26.42%,14.40%,15.44%,3.23%,-4.27%,10.57%,-0.02%,4.30%,1.15%,-6.47%
Return,,,,,,,,,,,,,,,,,,,,,,,,,,,
returnOnAssets,65.69%,45.28%,10.61%,22.07%,15.05%,16.15%,31.15%,27.11%,16.93%,8.33%,8.76%,6.07%,8.77%,10.46%,5.63%,-1.90%,-0.90%,21.28%,16.78%,15.80%,6.16%,5.32%,5.62%,11.77%,9.83%,18.83%,3.62%
returnOnEquity,116.71%,69.24%,19.76%,36.65%,25.64%,22.91%,44.33%,40.78%,28.91%,13.74%,14.27%,9.87%,11.65%,14.02%,7.96%,-2.55%,-1.25%,30.47%,22.36%,20.76%,8.52%,7.08%,9.74%,23.16%,24.63%,30.58%,6.39%
returnOnCapitalEmployed,89.31%,59.84%,12.20%,25.20%,18.23%,18.32%,31.80%,31.82%,24.11%,15.15%,12.04%,7.87%,11.92%,14.02%,7.20%,-3.53%,-2.75%,30.08%,22.27%,23.03%,9.41%,8.46%,11.63%,22.60%,14.38%,43.14%,-3.47%
returnOnInvestedCapital,87.25%,60.68%,14.13%,26.02%,18.54%,57.81%,36.16%,50.29%,27.04%,14.24%,10.92%,8.30%,11.71%,14.36%,8.27%,-3.47%,-2.30%,36.04%,27.54%,30.89%,9.10%,9.10%,9.75%,22.97%,38.22%,57.18%,-13.18%
Turnover Ratios,,,,,,,,,,,,,,,,,,,,,,,,,,,
receivablesTurnover,6.402,6.093,7.048,5.788,6.865,6.589,8.228,7.679,8.366,9.921,9.884,9.687,9.422,11.89,10.16,8.871,10.76,6.148,5.917,7.466,6.784,9.271,12.36,9.294,7.003,5.573,7.350
