Period Ending:,"LTM 
  (Last Twelve Months) ","2024
  12-31 ","2023
  12-31 ","2022
  12-31 ","2021
  12-31 ","2020
  12-31 ","2019
  12-31 ","2018
  12-31 ","2017
  12-31 ","2016
  12-31 ","2015
  12-31 ","2014
  12-31 ","2013
  12-31 ","2012
  12-31 ","2011
  12-31 ","2010
  12-31 ","2009
  12-31 ","2008
  12-31 ","2007
  12-31 ","2006
  12-31 "
Price Ratios,,,,,,,,,,,,,,,,,,,,
priceEarningsRatio,149.1,183.0,52.58,30.64,188.7,913.1,-85.90,-58.18,-26.31,-45.67,-34.62,-94.22,-242.7,-9.185,-11.25,-8.775,-58.33,-39.28,-41.60,-74.24
priceSalesRatio,10.83,13.28,8.150,4.733,19.37,20.88,3.013,2.646,4.390,4.404,7.605,8.662,8.923,8.806,14.01,11.60,29.05,220.6,"44,541",0.000
priceToBookRatio,14.5,17.80,12.59,8.625,34.53,29.62,11.19,11.53,12.18,6.486,28.39,30.39,26.93,29.18,12.77,6.540,-12.83,-16.28,-27.59,0.000
priceToFreeCashFlowsRatio,290.1,355.7,181.0,51.05,299.3,243.8,76.50,-256.9,-12.46,-19.71,-14.25,-26.97,"30,977",-7.234,-9.162,-8.060,-35.07,-51.58,-51.39,-223.9
priceToOperatingCashFlowsRatio,70.84,86.95,59.50,26.19,90.66,110.8,30.79,27.07,-851.0,-248.9,-58.66,-483.2,67.85,-13.79,-22.35,-10.59,-40.23,-62.04,-60.81,-648.8
priceEarningsToGrowthRatio,58.15,-3.462,2.977,0.267,0.291,-5.196,6.529,1.121,-0.170,1.401,-0.185,-0.328,2.908,-0.195,0.750,-0.014,1.790,-6.523,-0.530,0.000
none-1,77.45,102,56.73,21.21,109.6,151.1,39.51,44.23,"15,095",128.8,-110.3,625.8,395.6,-10.68,-12.2,-9.744,-70.8,-44.36,-41.98,0
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
currentRatio,2.025,2.025,1.726,1.532,1.375,1.875,1.135,0.831,0.856,1.074,0.990,1.509,1.875,0.973,1.949,2.757,1.749,0.357,0.435,0.000
quickRatio,1.608,1.608,1.252,1.051,1.083,1.587,0.802,0.520,0.561,0.719,0.535,1.057,1.371,0.475,1.687,2.229,1.345,0.168,0.394,0.000
cashRatio,1.269,1.269,0.570,0.609,0.892,1.360,0.588,0.369,0.439,0.582,0.426,0.904,1.253,0.374,1.334,1.164,1.211,0.105,0.336,0.000
debtRatio,0.067,0.067,0.090,0.070,0.143,0.255,0.426,0.465,0.423,0.379,0.359,0.434,0.251,0.419,0.393,0.188,0.008,1.078,0.003,0.000
debtEquityRatio,0.113,0.113,0.153,0.129,0.294,0.597,2.207,2.809,2.863,1.807,2.674,2.776,0.910,3.742,1.250,0.351,-0.004,-0.279,-0.001,0.000
longTermDebtToCapitalization,0.073,0.073,0.041,0.023,0.124,0.277,0.611,0.631,0.690,0.560,0.656,0.673,0.468,0.763,0.545,0.258,0.000,-0.376,0.000,0.000
totalDebtToCapitalization,0.101,0.101,0.133,0.114,0.227,0.374,0.688,0.737,0.741,0.644,0.728,0.735,0.476,0.789,0.556,0.260,-0.004,-0.387,-0.001,0.000
